"protein","logFC_pooled","P_pooled","adjP_pooled","logFC_meta","se_meta","p_meta","adjP_meta","I2","re_pi_lb","re_pi_ub","opp_wt_rel","wmax","lo_flip","lo_p_cross","is_candidate","same_sign","RE_PI_zero","high_conf","supported","site_driven","tier","note_hetero"
"O00559",-0.0132369920807893,0.789285464074365,0.935159729094042,-0.00993663668170065,0.0484929899360122,0.837643439222234,0.837643439222234,0,-0.104981150458948,0.0851078770955466,0,0.652621012796297,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P23677",0.00530026639154051,0.789589253493435,0.935159729094042,0.00442450890264658,0.0187082742542272,0.813044622611989,0.813044622611989,0,-0.0322430348485367,0.0410920526538299,0,0.704852719314554,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q03014",0.00767888437588282,0.789781502903198,0.935159729094042,0.0270469758024975,0.0275101050718675,0.325526177663994,0.325526177663994,0,-0.0268718393492756,0.0809657909542705,0,0.659699328529276,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q11128",0.0116953931883172,0.789840790873021,0.935159729094042,0.0096834613493541,0.0458347499492094,0.832677378824923,0.832677378824923,39.4997525568323,-0.194912697812574,0.184478999120208,0,0.525528991710392,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q8N5H3",-0.00583580913171123,0.789854242490034,0.935159729094042,-0.00367921635840097,0.0199303124731337,0.853539610753313,0.853539610753313,23.9568131907831,-0.0640706511265782,0.0676896892555884,0,0.614220318447401,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P55103",0.0163439303518889,0.79007854438319,0.935159729094042,0.0107258708183179,0.066316583219034,0.87151266235649,0.87151266235649,0,-0.119252243868742,0.140703985505378,0,0.597095262381332,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9NP86",-0.00879313195134546,0.790190561600057,0.935159729094042,-0.0108743945569624,0.0266038539128357,0.682721225470928,0.682721225470928,22.5385569100423,-0.123443008847929,0.0918912554865005,0,0.549126136996776,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9BV20",0.010687509410027,0.790204619678516,0.935159729094042,0.00443546649487275,0.0440777290854115,0.919845538697419,0.919845538697419,0,-0.0819552950328473,0.0908262280225928,0,0.700473707098903,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9NP55",0.00689431228655651,0.790327029641754,0.935159729094042,0.0160354365236431,0.0232870949005415,0.491076562508052,0.491076562508052,0,-0.0296064307859845,0.0616773038332708,0,0.707545033152912,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q5H8A3",0.00797558768258164,0.790583549252663,0.935291170942582,0.0211872988940419,0.0240695766303847,0.378722675903557,0.378722675903557,0,-0.0264088166140711,0.0688314288329355,0,0.667767425796326,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q86SJ6",-0.0153363341968769,0.790844239630107,0.935420668654403,-0.014759357027199,0.0468631453843609,0.752802705729623,0.752802705729623,0,-0.106609434182811,0.0770907201284129,0,0.724411419479173,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9HBE4",-0.00881979959015036,0.791114742853732,0.935420668654403,-0.0160286221513894,0.0274156535379313,0.558781600908022,0.558781600908022,0,-0.0697623156983628,0.0377050713955841,0,0.633752728361914,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q13705",0.00641883271863128,0.791200587468448,0.935420668654403,0.0176417207508186,0.0212006622071619,0.405335205032422,0.405335205032422,49.1638222373043,-0.0848373372290548,0.121076123344144,0,0.67271358267985,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q12979",0.0133307319379394,0.791302096191304,0.935420668654403,0.0113508382136424,0.0533984934001159,0.831663534944514,0.831663534944514,0,-0.0955004953033392,0.118892747776289,0,0.569472822307061,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"O15391",0.00942952848162275,0.791420285826249,0.935420668654403,0.00240104843078906,0.0289500559231226,0.933901149051581,0.933901149051581,0,-0.0543400185289516,0.0591421153905297,0,0.518766267313324,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9GZN4",-0.00701622551297727,0.791675382346746,0.935550235919133,-0.00283771132643939,0.0258909370217919,0.912724630909291,0.912724630909291,0,-0.0535830154151462,0.0479075927622674,0,0.582767802502768,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9BYV9",0.0104744671843828,0.792025865242809,0.935763546854332,0.0205330353368377,0.0333460805976448,0.538055845781151,0.538055845781151,0,-0.044824081660116,0.0858901523337913,0,0.693787971740625,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q96I59",-0.00539375843963902,0.792146905469598,0.935763546854332,-0.0117335194924789,0.0178831169675625,0.511745161795969,0.511745161795969,0,-0.0467837846802186,0.0233167456952607,0,0.656977734028534,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P35247",-0.0158055303399538,0.79271766672701,0.936265806193095,-0.0138858031342337,0.0596917471027448,0.816052476475904,0.816052476475904,0,-0.130879477629887,0.103107871361419,0,0.611282358314793,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P45974",0.0110833540116688,0.793225907438453,0.936420877256868,0.00379108947503731,0.0448532314655808,0.932641329618774,0.932641329618774,0,-0.0841196287877397,0.0917018077378143,0,0.516537863173727,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
