"protein","logFC_pooled","P_pooled","adjP_pooled","logFC_meta","se_meta","p_meta","adjP_meta","I2","re_pi_lb","re_pi_ub","opp_wt_rel","wmax","lo_flip","lo_p_cross","is_candidate","same_sign","RE_PI_zero","high_conf","supported","site_driven","tier","note_hetero"
"P10696",0.0227908170568196,0.090204042575817,0.129246721954137,0.0165954862151905,0.0133306139726489,0.21316286079493,0.21316286079493,31.7595304611977,-0.0603268972602121,0.0886666266800188,0,0.259818063958355,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9NUI1",-0.0243516785767907,0.0902174677114167,0.129246721954137,-0.0094375595266986,0.0131609338241101,0.473319245852789,0.473319245852789,88.0689547620769,-0.521378477275116,0.398597996663829,0.354952130299154,0.413641961241775,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"O75496",0.0105645966316106,0.0902751761183642,0.129300591896927,0.0137589055027643,0.00582111721600794,0.0180973946157793,0.0180973946157793,58.8816415274014,-0.0447502652350387,0.0760518679943571,0,0.289532428458777,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","high I2 (magnitude)"
"Q9BQ16",0.0151677687043456,0.0909178247597906,0.130192057677625,0.0178189806103987,0.00867605824427446,0.0399940241314796,0.0399940241314796,0,-0.0011197330255066,0.0372049481088815,0,0.286574967420815,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)","RE PI spans 0 (magnitude)"
"Q8N6K0",0.0143585478069491,0.0909653460145268,0.130231108686425,-0.00940811642505924,0.00706421578256439,0.182926204322348,0.182926204322348,80.3543575446692,-0.155423087309556,0.18071030289346,0.276989922360228,0.241853132965304,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"Q14693",-0.0236645037365478,0.0910955786928714,0.130388530285746,-0.0184702510470973,0.012084319187533,0.126401395168691,0.126401395168691,82.6226249982049,-0.312180868516707,0.220198463759615,0,0.40568307567564,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"Q16864",-0.0225542403841047,0.0915446747603791,0.131002181438362,-0.0250990925848641,0.0129110878860044,0.0518960326641463,0.0518960326641463,84.0965593346008,-0.347799071764557,0.263582689440724,0.629007383927219,0.361360588646278,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Likely site-driven",NA
"Q6ZWJ1",0.00944596938728192,0.0916255291016834,0.131088715829349,0.0105651317446701,0.00525005579625845,0.0441794043489566,0.0441794043489566,65.8138070105954,-0.035357362335979,0.0758419541770826,0.656027942734083,0.23364372098679,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Likely site-driven",NA
"Q9BYW2",0.0119428717439823,0.0917243234746764,0.131194682795787,0.0111030230593601,0.00673470492390583,0.0992238703197497,0.0992238703197497,0,-0.00898150251188144,0.0299130259419821,0,0.301605319538203,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Ambiguous","RE PI spans 0 (magnitude)"
"Q9Y5G3",-0.0151895140437248,0.0917465735834253,0.131194682795787,-0.0206177979742032,0.00835470568271051,0.0135943739058269,0.0135943739058269,12.6246687199795,-0.0375574327189205,-0.00369603860308223,0,0.219873058854933,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"High-confidence (meta, concordant)",NA
