"protein","logFC_pooled","P_pooled","adjP_pooled","logFC_meta","se_meta","p_meta","adjP_meta","I2","re_pi_lb","re_pi_ub","opp_wt_rel","wmax","lo_flip","lo_p_cross","is_candidate","same_sign","RE_PI_zero","high_conf","supported","site_driven","tier","note_hetero"
"P22894",-0.00792426966392758,0.793866265849285,0.891297827457533,-0.0106520572544586,0.0284496000732705,0.708092963756781,0.708092963756781,0,-0.0990452726132326,0.070309238787197,0,0.41870746877252,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q8N488",-0.00678100668861246,0.794460807434855,0.891628961591825,-0.00337526353023977,0.0252595861504966,0.893700638000861,0.893700638000861,0,-0.0528907084236118,0.0461391189092519,0,0.442213448644662,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9H6J7",-0.00755566778542213,0.794563750525876,0.891628961591825,-0.00505300158978717,0.0294650499509893,0.863837420830275,0.863837420830275,0,-0.0628034382964,0.0526974351168256,0,0.474688722563697,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q71RG4",-0.0070870383514115,0.794577138684924,0.891628961591825,-0.0106723945874506,0.0263361115936417,0.685302536220493,0.685302536220493,64.1572410319157,-0.234530262152468,0.297536731937706,1,0.504420317035617,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"Q5SRE7",-0.00735854533180687,0.795053761233348,0.892008153958768,-0.00515966262263213,0.0258252599421307,0.841643794664573,0.841643794664573,0,-0.0557907702444542,0.0454709900725076,0,0.50096669051514,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q8TD22",-0.00637291243091143,0.795315788353023,0.892146491348036,-0.00409832191031565,0.020714342366849,0.843162830158646,0.843162830158646,0,-0.0446976869127718,0.0365010430921405,0,0.382317927581455,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P60903",-0.00506719364504022,0.795746272644007,0.892425344907209,0.00553334495658359,0.0154724601196522,0.720623656861939,0.720623656861939,17.4269487023388,-0.0372041302979368,0.0446876842982198,0,0.476843450461404,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q5JX69",-0.0077189945364002,0.795841914638912,0.892425344907209,0.00126002752082513,0.0274838326115058,0.963432886436759,0.963432886436759,16.6858111561816,-0.123637526188427,0.110494306325722,0,0.324173719611542,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9UBV4",-0.00904865898129195,0.796406172793612,0.89290238794207,-0.00843412239330487,0.033024743296292,0.798423455668088,0.798423455668088,0,-0.0731614298527178,0.0562931850661081,0,0.394500954931908,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P01566",0.00814483219325153,0.796580637637507,0.892942318397561,0.00688061719953183,0.0334376709012287,0.836967126652248,0.836967126652248,0,-0.0586560134937793,0.072417247892843,0,0.405933840463944,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
