"protein","logFC_pooled","P.Value_pooled","adjP_pooled"
"Q53GG5",1.64638076336738,3.06312065851266e-30,1.96989289548949e-26
"P07451",1.29423039037042,2.15975989889761e-25,6.94470795490528e-22
"Q9Y235",1.22606508211858,3.25274068351299e-23,6.97279177855734e-20
"P54296",1.48060324849685,3.19183267872284e-22,5.13166898921665e-19
"P45379",1.0176361275438,2.13845976730681e-21,2.75048695271002e-18
"P48788",1.32387345776608,6.30600605280691e-21,6.75898748760021e-18
"Q96A32",1.26270568147111,1.46257441334474e-20,1.34368800746e-17
"P35609",1.48127672194905,5.30199115462065e-20,4.26213813942067e-17
"O60662",0.924965022926283,5.12256598171869e-19,3.66035798093699e-16
"Q00872",1.2008813481323,1.77126312094975e-18,1.13909931308278e-15
"O14558",0.70938089653331,2.09464103980763e-17,1.22460332063662e-14
"Q13508",-0.533810227444096,5.47320584787982e-16,2.93318223397626e-13
"P14649",0.570268111854769,7.68596829581087e-16,3.80218939310459e-13
"P06732",0.843958986444597,9.30767611600837e-13,4.23760315822894e-10
"P20807",0.653551790957575,9.88400674443075e-13,4.23760315822894e-10
"P12277|P06732",1.21692430650826,1.40756790062017e-12,5.6575432305552e-10
"P58335",-0.463606348937298,3.45981550064928e-12,1.30882785203974e-09
"Q8TE54",0.316205724255319,5.28339731803954e-12,1.88764045290624e-09
"P08590",0.840994754826727,1.01118921857589e-11,3.42260940245344e-09
"Q9HBL6",0.285123520644131,2.88177520983901e-11,9.26634818723735e-09
"Q68J44",0.472799317031154,2.75834741094007e-10,8.44711057131217e-08
"Q96B86",-0.24576075624101,5.19035927955741e-10,1.51723638758335e-07
"Q14324",0.470616119387057,1.09862510763557e-09,2.99121951338463e-07
"P50461",0.544171055151923,1.11630023824026e-09,2.99121951338463e-07
"P05452",-0.183772216469287,4.6111020361355e-09,1.1861598877755e-06
"P25189",-0.299389200883645,5.00133257526707e-09,1.23706037659779e-06
"Q9H6X2",-0.286771623281816,1.52761051443623e-08,3.63854193271828e-06
"Q8IVN3",0.450596346245337,2.4117063262757e-08,5.5391726372425e-06
"P06756|P05106",-0.40545347789925,3.4960814299561e-08,7.75286195725782e-06
"P02792",0.813046020312155,4.51962834963777e-08,9.68857663884016e-06
"P02794|P02792",0.813621974031485,5.32724437866443e-08,1.10514543868358e-05
"Q9NQ79",-0.313644683196783,1.07797996765865e-07,2.16640286625399e-05
"P10092",0.493251629528383,1.33238193360076e-07,2.59652976211712e-05
"O60760",-0.312829489940672,1.47671704952604e-07,2.79316686632411e-05
"Q9Y281",0.607584519413915,1.98497868956481e-07,3.64725655788322e-05
"Q6ZVN8",-0.146228884936865,2.33194332575988e-07,4.16575764665605e-05
"Q8WY91",0.323789823862593,2.48239472162252e-07,4.31467039317688e-05
"P59282",-0.334708469164999,2.70407849765448e-07,4.57629705747788e-05
"Q9BRK3",-0.204720291530916,3.02778108128448e-07,4.99273336762577e-05
"Q9Y5I4",0.217206258716476,4.51109649320077e-07,7.25271538694354e-05
"O15335",-0.310948541346801,8.94702776389728e-07,0.000138393022056805
"Q8WZ42",0.334433337523889,9.03826298613874e-07,0.000138393022056805
"P67809",0.336207850659797,2.65361620344383e-06,0.00039686990242668
"P17936",-0.203846509776927,3.13396935745396e-06,0.000458058112222419
"Q16853",-0.180775977176374,5.36690425672065e-06,0.0007669902505549
"P81172",0.643646639409619,5.82829306746691e-06,0.000814820711236515
"Q96QC0",0.224143263561307,6.06612079187637e-06,0.000830026017288446
"Q5VTT5",0.367260564885318,7.04564482751334e-06,0.000943969622619547
"O15075",0.30906853764059,9.1829973917588e-06,0.00120522155564083
"Q2UY09",0.203462117657944,9.41255359173036e-06,0.00121064264296836
"P24043|P07942|P11047",-0.167664836509545,1.10775852163602e-05,0.00139686177502769
"Q96KQ7",-0.30285419975704,1.2314763476755e-05,0.00151670745720255
"Q8N142",0.371205783049198,1.24996882649254e-05,0.00151670745720255
"O14793",-0.193499042277688,1.3165401444875e-05,0.00156790179059242
"P08397",0.375871803543309,1.57431949583637e-05,0.00184080885049521
"P58062",-0.232831988324668,1.66152700303146e-05,0.00190808574223131
"P49747",-0.205371194209292,1.84129062432916e-05,0.00204797716050607
"Q9H0B8",0.457429560526918,1.84703273688932e-05,0.00204797716050607
"O14818",0.346133756828801,1.93580247745215e-05,0.00209174641148357
"Q6UWJ8",-0.292238063075191,1.95155939494658e-05,0.00209174641148357
"P13942",-0.31436521964407,2.19223874026117e-05,0.00231119464567534
"P11142",0.159894605172923,2.55343948061968e-05,0.00264857569352664
"O60330",0.169037573560211,2.68932842877361e-05,0.00274524938499096
"P0CG47",0.285874902033054,2.76295970308588e-05,0.0027763427891477
"P35443",0.23338220232977,2.90815292149434e-05,0.00287728175971233
"P14780",0.362403283792342,2.95503886445566e-05,0.00287937196019915
"O60909",-0.102008213236967,4.0053582346098e-05,0.00384454609056352
"Q99542",0.276554640093686,4.30239163820019e-05,0.00406892362136257
"Q03167",-0.151109137562034,4.63074710726399e-05,0.00431599052852387
"Q9UKX5|P05556",-0.309462076843822,4.86032317781486e-05,0.00446524833664676
"P13929",0.45912595634243,5.90944596345422e-05,0.00535262633675691
"P62888",0.405321580070921,6.2125099000409e-05,0.00554897932877265
"Q12906",0.158259234394662,6.57526420552369e-05,0.00572362589446462
"Q6B8I1",-0.209924552500281,6.66373926486463e-05,0.00572362589446462
"P20810",-0.30730984034434,6.67504186106121e-05,0.00572362589446462
"Q9P121",-0.250924794852164,7.22386664069128e-05,0.00611272189030074
"P01034",0.147180142926012,7.94143187261095e-05,0.00663264264581312
"Q6ZMU5",0.313499056109938,8.16529900872904e-05,0.00667474890050546
"Q99983",-0.277252495836757,8.19942719856836e-05,0.00667474890050546
"Q8TF66",-0.235758082149174,8.34585598724865e-05,0.0067090249817495
"Q96AW1",-0.216490522021064,9.08707539490992e-05,0.00721468911909453
"Q9Y5Y7",-0.185690563829991,9.30152217156972e-05,0.00729488891284938
"Q9NXU5",0.307099591611746,9.68618469601192e-05,0.00750504262410273
"Q96IW2",0.165984592393315,0.000107665259287715,0.00824280098189636
"P50895",-0.125653962856919,0.000120748088651725,0.00913565833081462
"Q8WTQ1",0.269638605652684,0.000126478631251876,0.00945795439047456
"Q9HAV5",0.178937721416333,0.000130307026711034,0.00961071901635919
"Q9HCU0",-0.197211734514404,0.000131510383057006,0.00961071901635919
"P14210",0.190704154466752,0.000136945984185837,0.00989550139661933
"Q14DG7",-0.172721602685652,0.000139847382363969,0.00999287239980758
"Q13203",0.216576210376409,0.000147519509167505,0.0104252523456728
"P08833",-0.674348808156918,0.000156895990505761,0.0108467787179903
"Q9HDB5",0.210288676887798,0.000157799879700832,0.0108467787179903
"P05019",-0.209835454467419,0.00015854411436652,0.0108467787179903
"P14621",0.308185109016571,0.000164316956243982,0.0111233931116321
"P22304",-0.16167993937049,0.000166235836105144,0.0111360693957519
"Q9Y508",-0.214515021123657,0.000181283230893558,0.0120188913183141
"P02452",-0.217078815090308,0.000187650411289382,0.0123140795408369
"Q99972",-0.195548827713616,0.000189643359617101,0.0123191560171473
"P24593",-0.177329517119441,0.000220631490912741,0.0141888111805984
"P43146",-0.293403662570713,0.000224954791469288,0.0143236065736534
"Q96EE4",-0.150772577780082,0.000232193244535257,0.0146395564275122
"Q9UJK0",-0.151926614560694,0.000254549765318799,0.0158932965122835
"Q96KC2",0.172874057001235,0.000263737624130471,0.0163086217382987
"Q14242",-0.249748347360887,0.000308399218375575,0.0188887178416507
"Q08493",0.260578692212656,0.000323110051119047,0.0195300637927564
"P01344",-0.365432075183477,0.000324944305057524,0.0195300637927564
"Q12860",-0.124542008480987,0.000336168408996687,0.0198947440080541
"O60542",0.122832804397943,0.000337199050983968,0.0198947440080541
"Q9NNX6",-0.289225574414679,0.000348112623585955,0.0202885185654807
"P08473",-0.200734575169004,0.000350182795952162,0.0202885185654807
"P22105",-0.158521330089398,0.000404319051281921,0.0232158555249467
"P04040",0.285308140057451,0.000427274968966017,0.0243168612869067
"Q01844",0.178852839680629,0.000431190353308179,0.0243244312467096
"Q16288",-0.152963859128066,0.000489961301005416,0.0273994880588333
"Q01638",0.261699591371916,0.000534201062172202,0.0296159226795641
"O43424",-0.274815817265046,0.000559719382691979,0.0307654303426677
"P08236",0.339589664019843,0.000568371933634506,0.0309192005436676
"Q6P4E1",-0.206123084711321,0.000572132617741633,0.0309192005436676
"Q9Y2C2",-0.132251294590249,0.00059056286578096,0.0316492482486446
"Q16787",-0.110518705763837,0.000654255709170337,0.0347728798816069
"P33151",-0.128477460024719,0.000661014644993759,0.0348441408356956
"P36269",-0.10710952597953,0.000704985143473,0.0368598329892265
"Q9NPC4",-0.18880137539421,0.000728150157974181,0.0377639811768706
"Q63HQ2",-0.173401695594386,0.000739119182225444,0.0380262036871346
"O75094",-0.215518703909605,0.000767491538970235,0.0391725245009332
"Q9UM47",-0.119030778068872,0.000785193700435488,0.0397604778543356
"P14384",0.116844747752896,0.000848942984041254,0.0426527525810102
"P40394",-0.185574496172097,0.000888802365967148,0.0443092094227498
"P21860",-0.168787713949709,0.000905715892914274,0.0448050685179361
"Q9NY97",-0.0941584418230952,0.000937881957468419,0.0458449746273098
"P01112",0.143438493829041,0.000942642744072427,0.0458449746273098
"Q9UIV8",-0.231532624201422,0.00094812340622488,0.0458449746273098
"Q14C87",-0.216204285113772,0.000966993215454905,0.0461471782130269
"Q9BXS1",0.278548561393212,0.000968724779778981,0.0461471782130269
"O95445",-0.14152630278967,0.00100322746538479,0.0474393811021293
"P35858",-0.14377643698708,0.00101342547227415,0.047571819067117
"Q04760",0.249433440379301,0.00111269871711989,0.0516568064259343
"Q9UJA9",-0.200139028740918,0.0011165131539737,0.0516568064259343
"P49755",0.138664205784938,0.00115330786120488,0.052617513051057
"P21980",0.392827921800825,0.00116092020783153,0.052617513051057
"Q05901",-0.206198806777249,0.00116182348829888,0.052617513051057
"Q13905",-0.119110548219893,0.00117113772407219,0.0526684384860717
"Q9UBM8",-0.101382108002664,0.00118458116616791,0.0527338418174089
"P06396",-0.0847724694832194,0.00118899192404358,0.0527338418174089
"Q9NTG7",-0.139440996778747,0.00129843794630128,0.057193523511394
"Q02221",-0.402361490531568,0.00131257402248148,0.0574228812148189
"P49223",0.319691554673403,0.00132189117323661,0.0574397441559772
"Q8TC92",-0.208132949044672,0.0013678401512309,0.058710990349973
"Q5VWW1",-0.185151321672124,0.00136940577709469,0.058710990349973
"P49746",0.210837686650426,0.0013921991741812,0.05929293304079
"Q15327",0.166969043053251,0.00142022471293038,0.0600396910409568
"P14151",-0.119212373073749,0.00142840502709787,0.0600396910409568
"O00757",0.175268452560019,0.001456684654716,0.0608307728212896
"Q96PX8",-0.235203092320607,0.00149051925615299,0.0618421247504507
"Q86Y30",0.22882484474261,0.00152153104070306,0.0627241418125729
"O76076",0.199079515348868,0.00153805507431627,0.0630014788721524
"Q10471",-0.16075954751033,0.00155120583408171,0.0631380045505028
"P51178",-0.186739368198746,0.00159110666841804,0.0643547609094115
"P23193",0.25654468121686,0.00162331340726893,0.0652470532634155
"Q9BQT9",0.173749488347867,0.0016948365973634,0.0676987214760497
"Q16629",0.119841542700118,0.00171135851087723,0.0679367073052559
"P02458",-0.123623159341612,0.00174848584666274,0.0685658617477953
"O43300",-0.157376700621209,0.00174853076141167,0.0685658617477953
"Q8NC42",-0.136397821315711,0.00177378554011977,0.0691346352030922
"Q9ULW5",-0.139830499695062,0.00181962589049518,0.0704940608540632
"P62942",0.214432840099279,0.00185474537733747,0.0714243564171094
"Q9BYH1",-0.11426548860853,0.00187494746147456,0.071528248271165
"O00499",0.172804031567005,0.00187968806683671,0.071528248271165
"Q7Z4W1",0.291860379042338,0.00206701024042409,0.0781937815068667
"O43903",0.206729221687324,0.00210216402463034,0.0790585780257176
"Q9P086",-0.112440331091084,0.00216426733561913,0.0809209490428294
"Q8N9F7",-0.272271615413953,0.00217721888953352,0.08093465132133
"Q9UKV8",0.264157503727911,0.0022450291363773,0.0829757607818531
"Q14184",-0.134099917371035,0.00227326128678193,0.083539104773112
"P08571",-0.129895130655156,0.00231086925205775,0.084438637272633
"P10768",0.131553748409324,0.00243438110683847,0.0884491802151312
"Q6ZMI3",0.144972102904392,0.00249288794003833,0.0900660805752052
"Q9H4G4",-0.129664352044978,0.00256835731411898,0.0922743345647998
"Q16763",0.251732364290653,0.00261033521830869,0.0932614766052398
"P78330",0.181168543826523,0.00263366068810416,0.0935749827911482
"O75496",-0.133728796610713,0.00269532075921356,0.0949339511529943
"Q13361",-0.173420607522835,0.00270143260161685,0.0949339511529943
"Q8WWZ8",0.160238170389156,0.00285543661772087,0.0995873293903008
"Q6IN85",0.17882275206433,0.0028648197694302,0.0995873293903008
"Q6UXK2",-0.126582141197671,0.00297405910096837,0.102270013422816
"O43240",-0.173927044439494,0.00298820507233738,0.102270013422816
"P28289",0.198965319125694,0.00299784267940325,0.102270013422816
"Q9UMX1",-0.103882296677263,0.00300560294462949,0.102270013422816
"Q9Y2W7",0.296449637966296,0.00307340514826171,0.103578255442891
"P00750",0.30315277977981,0.00307626291239188,0.103578255442891
"P42081",-0.143348925974593,0.00323457643696514,0.108341463886056
"Q16548",0.0825024413992425,0.00325362574696489,0.108414855848348
"Q9UBX8",-0.13370050102358,0.00333636124727005,0.110524001562279
"P80370",0.216822180681277,0.00335129533581782,0.110524001562279
"O00339",-0.0943398970147602,0.00351999748744756,0.115015083693442
"Q07654",-0.220849704030576,0.00352324233985509,0.115015083693442
"P30050",0.256233015539056,0.00354975934213292,0.115295466309378
"Q15846",-0.168812123944275,0.00361639177898838,0.115833886909181
"P00915",0.235550752185315,0.00363542524963859,0.115833886909181
"P23526",0.182469800964656,0.0036357969868578,0.115833886909181
"Q9HCE7",0.0906601349167702,0.00363838363483977,0.115833886909181
"Q9Y2T7",0.171514761330672,0.00368256766438,0.116663017978462
"P04424",0.248354523346658,0.00370297127598049,0.116734354293287
"Q96EP5",0.495557644177899,0.00379781373529236,0.118763423470392
"Q14623",-0.158383287170873,0.00380427075647656,0.118763423470392
"Q8IW00",-0.115901379542496,0.00383824391823612,0.119022484159835
"O00622",0.130636375482743,0.00384958431118733,0.119022484159835
"Q5DT21",-0.152889465641287,0.00393237349119269,0.120595181406009
"Q14982",-0.144942535656501,0.00393795492073736,0.120595181406009
"Q16568",-0.168274412064492,0.0039954243308704,0.121545863143801
"Q5TDH0",0.246117119239698,0.00401677761065441,0.121545863143801
"P47874",-0.191269774050112,0.00402569877929243,0.121545863143801
"Q13822",-0.187167608262825,0.00405758521277515,0.121936123847463
"P51654",-0.179062231147562,0.00408730680019706,0.12225800014915
"P17516",0.361561662547225,0.00412102622476398,0.122695924312302
"Q9BW30",-0.160456324182082,0.00416864325003285,0.123541680833923
"P10909",-0.0718191498620238,0.00423173939905899,0.12483631227224
"Q9UHC6",-0.112039431663406,0.00431738055520933,0.126781161418042
"P15907",0.0686166312488904,0.00433830339224832,0.126816495979768
"O43586",0.157413976025902,0.00436109699193087,0.126905949118133
"Q14392",-0.134640829640741,0.00438978977004738,0.127165486536823
"Q9UK23",-0.13987520427727,0.00445528619539069,0.128389090672713
"Q6Q788",-0.16709196863117,0.00447195713119074,0.128389090672713
"Q5VXI9",-0.159120339474749,0.0044965203666244,0.128520544345607
"P17213",0.323795455118128,0.00457835744912796,0.129749074475573
"Q6ZMJ2",0.183353696035073,0.00457985381837275,0.129749074475573
"Q9Y3Q0",-0.215499016548864,0.00465161128875096,0.130995953086573
"Q03154",0.29943149864181,0.00466460476703861,0.130995953086573
"Q9Y617",0.325236804822147,0.00479151180846852,0.133974836696787
"P60866",0.216052102804952,0.00487267031368406,0.135654297780529
"Q8TE67",-0.150716006313154,0.00496928180583993,0.137747634885158
"P10646",0.105358645570286,0.00507692393418281,0.138208383405036
"P49247",0.147765483955378,0.00508242852494765,0.138208383405036
"P08319",0.312540630601237,0.00511131149748969,0.138208383405036
"P55290",-0.18586112759531,0.00511443478346702,0.138208383405036
"Q8WYN0",0.173848448164141,0.00512186875178941,0.138208383405036
"P61247",0.148819175716553,0.00512305947461053,0.138208383405036
"P02774",-0.0838484426818696,0.00513634017008299,0.138208383405036
"O43598",0.108561693348927,0.00517186705336784,0.138335579933757
"Q9UHN6",-0.171736134542699,0.00518408875198809,0.138335579933757
"P22079",-0.174067928467891,0.00523654340567785,0.139157895214522
"O43921",-0.0941706912922938,0.00536498771743478,0.141344167896917
"P52789",0.200152497359508,0.00539832127998081,0.141344167896917
"Q9Y4C0",0.151191399206896,0.00540660025677189,0.141344167896917
"Q12794",-0.0872884670314945,0.00540672761664462,0.141344167896917
"Q9GZN2",-0.210669885076536,0.00543076488314056,0.141397769082903
"Q9Y320",-0.157311802731295,0.00545578386634531,0.141476395340592
"P61326",0.189219674665793,0.00557392489457949,0.143959481915826
"O95390|O14793",-0.13089466825301,0.0055985977458817,0.143987768187427
"Q6UXB2",-0.111193161273529,0.00567483107343254,0.143987768187427
"Q96D15",-0.116347546228988,0.00569636154945499,0.143987768187427
"Q76N89",-0.0910564006275568,0.00572687284892926,0.143987768187427
"O95156",-0.253308561253307,0.00573104857872217,0.143987768187427
"P41222",0.15089466195149,0.00573224143704379,0.143987768187427
"Q8N159",-0.146095605773915,0.00575290344322425,0.143987768187427
"Q86V35",-0.218044008736563,0.00575481017687424,0.143987768187427
"Q9H4G0",0.246564058475658,0.00577652685311088,0.143987768187427
"Q14393",-0.104174090750831,0.00581482382642922,0.144382749141955
"Q9NUP9",-0.203564905974362,0.00588653319908808,0.145124589120669
"Q7Z4V5",0.0715026038402996,0.00590080845454617,0.145124589120669
"P01602",0.144995917657688,0.0059204736573123,0.145124589120669
"P78417",0.181326442209873,0.00593496609216855,0.145124589120669
"P58658",-0.187350238170436,0.00601788374922331,0.146594736330512
"P23921",0.307399020022495,0.00605398854547618,0.14691773711682
"Q9UKZ9",-0.11340635589218,0.00611467326794865,0.147225422643917
"P19021",-0.115894456986178,0.00612723478331972,0.147225422643917
"O14791",-0.0953328474086029,0.00613534648865958,0.147225422643917
"P08253",-0.105423647811954,0.00625932426514303,0.149642060777453
"Q15517",0.190350804216168,0.0063445222206874,0.151117120004595
"P18850",-0.111558307334632,0.00642015823951013,0.152354382429113
"Q8WW22",0.171108435274002,0.00661223645760951,0.156335634775319
"Q92838",-0.148287072375321,0.00669734658348895,0.157582293128978
"Q5T4F7",0.176103668829264,0.00672700402022383,0.157582293128978
"Q8IZS8",-0.14166640316332,0.00673847467119717,0.157582293128978
"Q96LZ2",-0.129967521993152,0.006784264276904,0.158078273785397
"Q9UNS1",-0.168022056284946,0.0068434168846468,0.158743357996487
"Q5T8I9",-0.144679319785431,0.00688752070636453,0.158743357996487
"Q9Y3E5",0.0635826763229641,0.00689985027353242,0.158743357996487
"Q8N690",-0.0902356518364981,0.00691154412051258,0.158743357996487
"Q719H9",-0.145141680862031,0.00693728822784922,0.158767617769745
"Q9BX93",-0.140845509760124,0.00703846412286702,0.160511924731056
"O43251",0.105089424660268,0.00711225571262227,0.161621613031356
"O60259",-0.135313215373006,0.00719662020462105,0.162534610032355
"Q9H6Z9",-0.149096981146213,0.00720297991902054,0.162534610032355
"Q9BSL1",0.172563734848572,0.00726268944949997,0.163308936537533
"Q9H773",-0.170774878548785,0.00735445425651228,0.164796150953416
"P23142",-0.144242204014174,0.0074999362127355,0.166905732385219
"O95164",-0.10353802138274,0.00750050640014434,0.166905732385219
"P07585",0.105293060389625,0.00756755455409988,0.167817045991091
"Q9UJV3",-0.123672714269589,0.00761508355501561,0.168128482905332
"P05120",-0.178646068164106,0.00763388540014882,0.168128482905332
"Q9NR46",0.242141616313555,0.0077009885917812,0.168804330120819
"P01229",-0.178965401229666,0.00771706936021158,0.168804330120819
"P43627",-0.135650542464136,0.00780805525324852,0.170215604520818
"O95166",0.143482956048357,0.00788511259141296,0.171314726606002
"Q9UL46",0.260727793191426,0.00801099135789656,0.172889048955307
"P21695",0.178700970065488,0.00801154999290264,0.172889048955307
"P10721",-0.137919282154048,0.0080382251030379,0.172889048955307
"Q8N729",0.374060483595777,0.0082577134259111,0.177017850140114
"Q8TD06",-0.350452447215946,0.00828579354426197,0.177029695292853
"P02654",-0.0645489218225775,0.00849787203138179,0.180959652429855
"P01116",0.203636993944235,0.00853699535325553,0.181192795764971
"P31371",-0.0994137988022839,0.00858412303210235,0.181593734274507
"O95163",-0.134622160804716,0.00864618395383858,0.182108851056056
"O00462",-0.124187067808222,0.00866510782508988,0.182108851056056
"Q9BVM2",0.221561087337919,0.00870408101570966,0.182332068443091
"Q9H0R8",0.132032202880821,0.00877986384996953,0.183054882980532
"Q9Y2H2",0.113844469612803,0.0088518197418346,0.183054882980532
"Q9UKB3",-0.240150640300053,0.00889414670824879,0.183054882980532
"O00429",-0.239294280927364,0.00894770317014738,0.183054882980532
"P28698",-0.137995673447177,0.00896333389303753,0.183054882980532
"B6SEH8",-0.121922776002245,0.0089747406516386,0.183054882980532
"O95972",-0.146492301566683,0.00899351364870418,0.183054882980532
"Q9BY67",-0.128181202625533,0.00901960667037467,0.183054882980532
"Q9UI15",0.164749645698658,0.00902158891560223,0.183054882980532
"Q9HCK4",-0.127433102008972,0.00904211115851412,0.183054882980532
"O75473",-0.106062374730845,0.00905169534874967,0.183054882980532
"Q9Y625",0.092980908266498,0.00930236332828158,0.187534478257614
"Q9H169",0.261197479901744,0.00939478127949213,0.187728108439277
"P30519",0.125328804065756,0.00943594282764302,0.187728108439277
"Q5JX69",-0.183981162424518,0.00943959228500712,0.187728108439277
"P01031|P13671",0.075456408539641,0.0094611145347995,0.187728108439277
"Q70626",-0.115676629408287,0.00947203939030985,0.187728108439277
"P62913",0.12461785088457,0.00948711479439668,0.187728108439277
"P02144",0.167918472588825,0.00955078386432204,0.188408254697715
"Q08830",-0.236323504970321,0.00975318845642771,0.191812706309745
"O00292",-0.138430568168238,0.00989022566875159,0.193134473425007
"O00559",-0.236972690034194,0.0099059982741506,0.193134473425007
"Q9P0V8",-0.194011212184833,0.00991049233871131,0.193134473425007
"P07949",-0.189308278647386,0.00996959645730328,0.193699319688572
"P01019",-0.131366822065401,0.0100124778909114,0.19372662031939
"Q9P0G3",-0.162828375215427,0.0100312493494569,0.19372662031939
"Q99726",-0.183588337995772,0.0101532897915087,0.195317984825521
"P18084",-0.0982603698802412,0.0101743935494557,0.195317984825521
"Q15631",0.185814737284583,0.01023794355264,0.195953020794726
"Q9Y264",0.132487961523312,0.0103404878011781,0.197328418544143
"O60462",-0.0796418536663029,0.0104495072131459,0.198321590705243
"Q92956",-0.15585573390576,0.0104542091819433,0.198321590705243
"P60985",-0.0982749713584842,0.0105608820299056,0.199497053831761
"Q92630",-0.132081294517427,0.0105782141745655,0.199497053831761
"O60921",0.0985164345127049,0.0106130842727894,0.199569429702657
"Q96EQ0",-0.168571103032439,0.0106451443882874,0.199588698428793
"P33183",-0.137954990618755,0.0107182977263715,0.200376083367136
"Q9NRX4",0.153162978577115,0.0108170322138966,0.201635751210345
"Q9NS85",-0.122676055630248,0.0111449471564455,0.207147847292199
"Q9BQ08",-0.136130966954466,0.0112020182839565,0.207608586697764
"P30838",0.136562799882198,0.0113108392616371,0.209023009458588
"P16035",-0.0803679765229833,0.0113536050812528,0.209212132600391
"P62263",0.175918293450999,0.0114716182733446,0.210782791759654
"Q99941",0.109839509701988,0.011561918957773,0.211694236942178
"P37023",-0.100700222737984,0.0115870582185736,0.211694236942178
"Q92620",-0.0927710132441226,0.0116710511701477,0.212319377676341
"Q9NQ38",-0.140817328508943,0.0116873051931931,0.212319377676341
"Q9BUN1",-0.178882587946377,0.0117657626119327,0.213142589738984
"Q6UWZ7",-0.073287646923102,0.0118390470890228,0.213670537676008
"Q9UGI8",-0.154382273277086,0.0118613562354742,0.213670537676008
"P16519",-0.102106410171936,0.0119204029667475,0.214134389606573
"Q8N766",-0.148796550380078,0.0120231336674844,0.215378196700813
"P41218",0.386050072659916,0.0121494804704616,0.216338012359956
"P48960",-0.121725535818608,0.0121590122962856,0.216338012359956
"P01282",0.142748739206445,0.0122031880570821,0.216338012359956
"P51857",0.156858792071255,0.012241612417642,0.216338012359956
"P17987",0.301093791435666,0.0122449131548785,0.216338012359956
"P26641",0.143076047193577,0.0123566667500223,0.217159491294087
"Q9NWX6",0.182114047026851,0.0123871452813848,0.217159491294087
"P41182",-0.215944375776178,0.0124317451582772,0.217159491294087
"Q9UNH6",-0.100061789918585,0.0124380744025187,0.217159491294087
"O94991",-0.145657192047158,0.0124602475956333,0.217159491294087
"Q96DZ1",0.0931979184025153,0.0125242810759327,0.217685544863036
"P47929",0.114495081445802,0.0126002476428411,0.217926753244568
"Q8N4G2",-0.331650504129268,0.0126059325465681,0.217926753244568
"Q16772",0.217382910321751,0.012689107131994,0.218222795072966
"Q9BRR6",-0.122119665757665,0.0126909229291385,0.218222795072966
"P51858",0.167755958269209,0.0129275252354767,0.221185826059817
"P10746",0.183683289230782,0.0129470758678879,0.221185826059817
"Q96LA5",-0.139063980928434,0.0129664214623777,0.221185826059817
"Q8N3J6",-0.110256306390917,0.0130559387258411,0.221325868950888
"P48357",-0.229751006712815,0.0130941985194634,0.221325868950888
"P18440",0.0871595878482886,0.013131136308456,0.221325868950888
"P52292",-0.15062962133879,0.013194309621431,0.221325868950888
"O75054",-0.124507111662939,0.0131943596910368,0.221325868950888
"Q9UHG3",-0.120899465240526,0.0132615906261274,0.221325868950888
"Q969E8",-0.178082109411856,0.0132889794883113,0.221325868950888
"Q9GZV1",0.284816933040365,0.0133015248827229,0.221325868950888
"Q96EK4",-0.147945320237841,0.0133284918213677,0.221325868950888
"Q9BVW5",-0.145411183100251,0.0133321484581606,0.221325868950888
"P01031",0.0500940616581816,0.0133751567393981,0.221325868950888
"Q9NVF9",0.106161577379101,0.0133876167037623,0.221325868950888
"O14594",-0.185939571055248,0.0134233464611925,0.221347541261356
"Q92765",0.114672206037494,0.0135420964967479,0.222734584579504
"O75381",0.172469083689592,0.0136229438892303,0.223492735080715
"Q8N539",-0.0876873751399808,0.013720818189826,0.223985837405851
"Q53RT3",-0.127887909076098,0.0137226589858351,0.223985837405851
"Q8IWV2",-0.0886019373165817,0.0138239494189038,0.224473188983719
"Q92918",0.242119109977378,0.0138295278494306,0.224473188983719
"O75077",-0.148677702643155,0.0138763019907162,0.224473188983719
"Q9UHL0",-0.0747056251424757,0.0139602844302086,0.224473188983719
"P03950",0.11664463948366,0.0139603224223419,0.224473188983719
"Q9NPR2",-0.11786958951109,0.0139842425865678,0.224473188983719
"P55899",0.115286416896663,0.0140294281678189,0.224473188983719
"Q8WVF2",0.172939364352912,0.014031755865566,0.224473188983719
"Q96F10",-0.138862762109593,0.0141284016569797,0.225458439345003
"Q9Y3C4",0.0658322452121047,0.0141793772871772,0.225711820133258
"Q9H765",-0.0667661934674126,0.0143282467546405,0.22719857128446
"Q9UQ72",-0.165992720963982,0.0143434333605179,0.22719857128446
"P41208",0.122178313171352,0.0144087263994265,0.227256047336245
"P20827",-0.1192048518746,0.0144264297347663,0.227256047336245
"Q15102",0.203070202125804,0.0144530746945303,0.227256047336245
"P11171",0.266907834195264,0.0145823096601777,0.228728862011227
"Q96DX5",0.18922177920381,0.0148809045935688,0.232397702372979
"Q9H832",0.212512983549615,0.0148884859862646,0.232397702372979
"Q9NT62",-0.0721468176824538,0.0149839150628447,0.23332096312144
"P49773",0.160859812154068,0.0151979435622538,0.236082065335397
"P56270",0.0856829491201013,0.0152360053934886,0.23610301370006
"O95274",-0.149120495318365,0.0153271090637607,0.236691357806047
"Q9BW91",0.132995937682169,0.0153894668269807,0.236691357806047
"Q9GZN4",-0.102170974539149,0.0154210745429527,0.236691357806047
"Q08380",-0.185241033097101,0.0154345701837344,0.236691357806047
