"protein","logFC_pooled","P_pooled","adjP_pooled","logFC_meta","se_meta","p_meta","adjP_meta","I2","re_pi_lb","re_pi_ub","opp_wt_rel","wmax","lo_flip","lo_p_cross","is_candidate","same_sign","RE_PI_zero","high_conf","supported","site_driven","tier","note_hetero"
"P08861",-0.0116326470240601,0.670591048884281,0.822223299319546,-0.0203643340314193,0.0299329003310326,0.496293757614515,0.496293757614515,0,-0.0790317406330702,0.0383030725702316,0,0.597915797263986,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9Y4K0",0.0111785041637652,0.67065338809044,0.822223299319546,0.0189551264173348,0.0282928788805868,0.502882629714309,0.502882629714309,0,-0.0364978972075693,0.0744081500422389,0,0.497055594924194,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P23280",0.0218247800956051,0.670717373383663,0.822223299319546,0.0417652566713441,0.0553047638058614,0.45013876190126,0.45013876190126,0,-0.0666300885616385,0.150160601904327,0,0.538990840997315,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P42330",-0.0153023568249806,0.670882358874456,0.822268810734062,-0.00832738829173801,0.0407706266585185,0.838158374353352,0.838158374353352,0,-0.0882744226006177,0.0716241815572889,0,0.58320259954618,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q5JWF2|P63092",-0.00872604568212186,0.67156487313876,0.822697231560855,0.0147787730891683,0.0215212073172304,0.492267110340133,0.492267110340133,59.0021899883695,-0.120394801754054,0.129474811565877,1,0.365348799161618,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"Q9Y5K5",-0.0250070795150031,0.671606398637658,0.822697231560855,-0.00014706868519576,0.0621637666036604,0.998112345338103,0.998112345338103,0,-0.121985812371724,0.121691675001332,0,0.481163355992814,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q5H8C1",-0.0116406571963481,0.67174462283547,0.822697231560855,-0.0167215839300837,0.0298391266186154,0.575212633680927,0.575212633680927,0,-0.0763636273449508,0.0426760673093238,0,0.526914299972444,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q8NAC3",0.0164579174869449,0.671858151925247,0.822697231560855,0.0136929567829063,0.0420941382353003,0.74495881992492,0.74495881992492,0,-0.0688100381185326,0.0961959516843453,0,0.552780760363323,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q8NI38",0.0104816381315095,0.671871537887982,0.822697231560855,0.00272859527059438,0.0258186354349303,0.915833732949407,0.915833732949407,0,-0.0479375630891041,0.0534001056567385,0,0.512552390759916,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"O14732",-0.0185184476923949,0.672228779340033,0.822977970671188,-0.0513492730575524,0.046060500899864,0.264926582945542,0.264926582945542,57.6524187159345,-0.308247292314912,0.362123014712028,0,0.588637144928851,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"O75817",-0.0228693725755647,0.67241972781549,0.822983351824362,-0.0328981574254567,0.0601660926090129,0.584523703256384,0.584523703256384,0,-0.150821532029624,0.0850252171787101,0,0.529094914609935,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q96CA5",0.0139805850613118,0.67258950332445,0.822983351824362,0.0257377855669453,0.0369094850514795,0.485601478818993,0.485601478818993,0,-0.0466034758218741,0.0980790469557647,0,0.432787871039222,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9Y689",-0.00933973467013038,0.672672418589043,0.822983351824362,-0.00419687308126566,0.0224496620285661,0.851703022304098,0.851703022304098,0,-0.0594245366582949,0.0548248461093422,0,0.637684550037609,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q6P4A8",0.0134288295085647,0.672780093001401,0.822983351824362,0.0209855921932123,0.0309503443377755,0.497745907284951,0.497745907284951,63.5211008869708,-0.230972383547948,0.232345033293766,1,0.456039720135825,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"Background (not evaluated)",NA
"Q8TDQ0",-0.0417877481098359,0.672873031238142,0.822983351824362,-0.0342524489727961,0.102411971151431,0.738034377338097,0.738034377338097,73.9335708566003,-1.08765041681161,0.908548580642905,0,0.519114095034307,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","high I2 (magnitude)"
"A6NM11",0.013850246473028,0.673156036262084,0.823172935767534,0.0137017056971731,0.0325705147103702,0.673990077611477,0.673990077611477,0,-0.0501353300930845,0.0775387414874307,0,0.542018551453886,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9UJW9",0.021005558562435,0.673662457003535,0.823635600948619,0.0304239585859853,0.0515528779470644,0.555089730249106,0.555089730249106,0,-0.0706178254896501,0.131465742661621,0,0.509754408447028,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q13630",0.0172673856127408,0.673856738967648,0.823716534556348,0.0178948664177692,0.0417045127202929,0.667859874684815,0.667859874684815,0,-0.0638444765067975,0.0996342093423359,0,0.577416697551031,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q9UNA0",0.00968904937812085,0.674020553351805,0.823760201179296,0.0127243043082523,0.0260422931722158,0.625123829087238,0.625123829087238,0,-0.0383176523841241,0.0637662610006287,0,0.644844688389175,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q58F21",-0.010578146964107,0.674545737461531,0.824122956200229,-0.00779722958458601,0.0271819273516755,0.774224536209767,0.774224536209767,0,-0.0610728282242542,0.0454783690550821,0,0.65398404451645,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P53816",0.0125856701164604,0.674720746497679,0.824122956200229,0.0235317984271457,0.0318635298453798,0.460199578829587,0.460199578829587,0,-0.0869794647729846,0.12276609716046,0,0.49068898881633,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"Q8NDH3",0.0132920635058891,0.674755380383065,0.824122956200229,0.0387020048723958,0.0336741708997257,0.250428867501118,0.250428867501118,0,-0.0272981573003134,0.104702167045105,0,0.610152588563746,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"O15294",0.0203215030249115,0.674878060012439,0.824122956200229,0.0374146148396159,0.0543749080633361,0.491398604725117,0.491398604725117,45.6707778238294,-0.167354615549501,0.237386249055689,0,0.619736145828572,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"O15519",0.0281933268049563,0.674958110761406,0.824122956200229,0.0687859774053931,0.0681779821370223,0.313014074264664,0.313014074264664,0,-0.0648404121217858,0.202412366932572,0,0.635843446158573,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
"P10606",0.0156740631463802,0.675896723493808,0.825068588268154,0.020223533876707,0.037568391062779,0.590361334742128,0.590361334742128,0,-0.0534091595634564,0.0938562273168703,0,0.501835566523184,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"Background (not evaluated)","RE PI spans 0 (magnitude)"
